"                              Asparagus pastorianus  \
Amegilla sp.                                      0   
Anaspis cf. saharensis                            0   
Andrena vachali                                   0   
Anthaxia sp. 1                                    0   
Anthophora sp. aff. orotavae                      0   
Arachnospila sp.                                  0   
Attagenus sp. 1                                   2   
Axinotarsus sp. 1                                 1   
Bombylius sp. 1                                   0   
Chalicodoma sicula                                0   
Chalicodoma sp.                                   0   
Chloropidae sp.                                   4   
Coleoptera sp. 5                                  0   
Crematogaster scutellaris                         0   
Hylaeus sp.                                       0   
Hym. Waiting�.                                    0   
Lucilia sericata                                 11   
Lucilia sp. 1                                     0   
Melecta sp.                                       0   
Musca domestica                                   0   
Musca sorbens                                     0   
Nomioides deceptor                                4   
Ormyrus sp. 1                                     0   
Plagiolepis schmitzii                             0   
Pteromalus sp. 2                                  0   
Sarcophaga sp. 1                                  0   
Sarcophagidae sp. 2                               0   
Sciaridae sp.                                     2   
Sciaridae sp. 4                                   0   
Tapinoma nigerrimum                               0   
Tethinidae sp. 1                                  0   
Tethinidae sp. 2                                  0   
Thyreus sp. aff. ramosus                          0   
Thysanoptera sp.                                  0   
Urelliosoma guimari                               0   
Vanessa Cardui                                    0   
Vestitohalictus sp.                               0   

                              Euphorbia balsamifera (f)  \
Amegilla sp.                                          0   
Anaspis cf. saharensis                                0   
Andrena vachali                                       1   
Anthaxia sp. 1                                        0   
Anthophora sp. aff. orotavae                          0   
Arachnospila sp.                                      0   
Attagenus sp. 1                                       0   
Axinotarsus sp. 1                                     0   
Bombylius sp. 1                                       0   
Chalicodoma sicula                                    0   
Chalicodoma sp.                                       0   
Chloropidae sp.                                       0   
Coleoptera sp. 5                                      1   
Crematogaster scutellaris                             0   
Hylaeus sp.                                           0   
Hym. Waiting�.                                        0   
Lucilia sericata                                      1   
Lucilia sp. 1                                         0   
Melecta sp.                                           0   
Musca domestica                                       0   
Musca sorbens                                         1   
Nomioides deceptor                                    0   
Ormyrus sp. 1                                         0   
Plagiolepis schmitzii                                 6   
Pteromalus sp. 2                                      0   
Sarcophaga sp. 1                                      0   
Sarcophagidae sp. 2                                   0   
Sciaridae sp.                                         0   
Sciaridae sp. 4                                      30   
Tapinoma nigerrimum                                  24   
Tethinidae sp. 1                                      0   
Tethinidae sp. 2                                      0   
Thyreus sp. aff. ramosus                              0   
Thysanoptera sp.                                      0   
Urelliosoma guimari                                   0   
Vanessa Cardui                                        0   
Vestitohalictus sp.                                   0   

                              Euphorbia balsamifera (m)  \
Amegilla sp.                                          0   
Anaspis cf. saharensis                                1   
Andrena vachali                                       0   
Anthaxia sp. 1                                        0   
Anthophora sp. aff. orotavae                          0   
Arachnospila sp.                                      1   
Attagenus sp. 1                                       0   
Axinotarsus sp. 1                                     0   
Bombylius sp. 1                                       0   
Chalicodoma sicula                                    0   
Chalicodoma sp.                                       0   
Chloropidae sp.                                       0   
Coleoptera sp. 5                                      1   
Crematogaster scutellaris                             1   
Hylaeus sp.                                           1   
Hym. Waiting�.                                        0   
Lucilia sericata                                     18   
Lucilia sp. 1                                        15   
Melecta sp.                                           0   
Musca domestica                                       2   
Musca sorbens                                         2   
Nomioides deceptor                                    0   
Ormyrus sp. 1                                         0   
Plagiolepis schmitzii                                 1   
Pteromalus sp. 2                                      0   
Sarcophaga sp. 1                                      1   
Sarcophagidae sp. 2                                   4   
Sciaridae sp.                                        29   
Sciaridae sp. 4                                       0   
Tapinoma nigerrimum                                  15   
Tethinidae sp. 1                                      0   
Tethinidae sp. 2                                      0   
Thyreus sp. aff. ramosus                              0   
Thysanoptera sp.                                     25   
Urelliosoma guimari                                   0   
Vanessa Cardui                                        1   
Vestitohalictus sp.                                   0   

                              Helianthemum canariensis  Kickxia heterophylla  \
Amegilla sp.                                         0                     0   
Anaspis cf. saharensis                               0                     0   
Andrena vachali                                      0                     0   
Anthaxia sp. 1                                       0                     0   
Anthophora sp. aff. orotavae                         0                     0   
Arachnospila sp.                                     0                     0   
Attagenus sp. 1                                      0                     0   
Axinotarsus sp. 1                                    0                     0   
Bombylius sp. 1                                      0                     0   
Chalicodoma sicula                                   0                     0   
Chalicodoma sp.                                      0                     0   
Chloropidae sp.                                      0                     0   
Coleoptera sp. 5                                     0                     0   
Crematogaster scutellaris                            0                     0   
Hylaeus sp.                                          0                     0   
Hym. Waiting�.                                       0                     0   
Lucilia sericata                                     0                     0   
Lucilia sp. 1                                        0                     0   
Melecta sp.                                          0                     0   
Musca domestica                                      0                     0   
Musca sorbens                                        0                     0   
Nomioides deceptor                                   0                     0   
Ormyrus sp. 1                                        0                     0   
Plagiolepis schmitzii                                0                     1   
Pteromalus sp. 2                                     0                     0   
Sarcophaga sp. 1                                     0                     0   
Sarcophagidae sp. 2                                  0                     0   
Sciaridae sp.                                        0                     0   
Sciaridae sp. 4                                      0                     0   
Tapinoma nigerrimum                                  1                     0   
Tethinidae sp. 1                                     0                     0   
Tethinidae sp. 2                                     0                     0   
Thyreus sp. aff. ramosus                             0                     0   
Thysanoptera sp.                                     0                     0   
Urelliosoma guimari                                  0                     0   
Vanessa Cardui                                       0                     0   
Vestitohalictus sp.                                  0                     0   

                              Launaea arborescens  Lotus sp.  \
Amegilla sp.                                    0          0   
Anaspis cf. saharensis                          0          0   
Andrena vachali                                 0          0   
Anthaxia sp. 1                                  3          0   
Anthophora sp. aff. orotavae                    0          0   
Arachnospila sp.                                0          0   
Attagenus sp. 1                                 0          0   
Axinotarsus sp. 1                               0          0   
Bombylius sp. 1                                 0          0   
Chalicodoma sicula                              0          1   
Chalicodoma sp.                                 0          1   
Chloropidae sp.                                 0          0   
Coleoptera sp. 5                                7          0   
Crematogaster scutellaris                       0          0   
Hylaeus sp.                                     0          0   
Hym. Waiting�.                                  0          0   
Lucilia sericata                                0          1   
Lucilia sp. 1                                   0          0   
Melecta sp.                                     0          0   
Musca domestica                                 0          0   
Musca sorbens                                   0          0   
Nomioides deceptor                              0          0   
Ormyrus sp. 1                                   1          0   
Plagiolepis schmitzii                           0          0   
Pteromalus sp. 2                                1          0   
Sarcophaga sp. 1                                0          0   
Sarcophagidae sp. 2                             0          0   
Sciaridae sp.                                   0          0   
Sciaridae sp. 4                                 0          0   
Tapinoma nigerrimum                             0          0   
Tethinidae sp. 1                                0          5   
Tethinidae sp. 2                                0          6   
Thyreus sp. aff. ramosus                        3          0   
Thysanoptera sp.                                0          0   
Urelliosoma guimari                             4          0   
Vanessa Cardui                                  0          0   
Vestitohalictus sp.                             4          0   

                              Lycium intricatum  Nauplius sp.  Zilla spinosa  
Amegilla sp.                                  2             0              1  
Anaspis cf. saharensis                        0             0              0  
Andrena vachali                               1             1              0  
Anthaxia sp. 1                                0             0              0  
Anthophora sp. aff. orotavae                  1             0              0  
Arachnospila sp.                              0             0              0  
Attagenus sp. 1                               0             0              0  
Axinotarsus sp. 1                             0             0              0  
Bombylius sp. 1                               0             0              1  
Chalicodoma sicula                            0             0              0  
Chalicodoma sp.                               0             0              1  
Chloropidae sp.                               0             0              0  
Coleoptera sp. 5                              0             0              0  
Crematogaster scutellaris                     0             0              0  
Hylaeus sp.                                   0             0              0  
Hym. Waiting�.                                0             0              1  
Lucilia sericata                              0             0              0  
Lucilia sp. 1                                 0             0              0  
Melecta sp.                                   0             0              1  
Musca domestica                               0             0              0  
Musca sorbens                                 0             0              0  
Nomioides deceptor                            0             4              0  
Ormyrus sp. 1                                 0             0              0  
Plagiolepis schmitzii                         0             1              1  
Pteromalus sp. 2                              0             0              0  
Sarcophaga sp. 1                              0             0              0  
Sarcophagidae sp. 2                           0             0              0  
Sciaridae sp.                                 0             4              0  
Sciaridae sp. 4                               0             0              0  
Tapinoma nigerrimum                           0             0              0  
Tethinidae sp. 1                              0             0              0  
Tethinidae sp. 2                              0             0              0  
Thyreus sp. aff. ramosus                      0             0              1  
Thysanoptera sp.                              0             0              0  
Urelliosoma guimari                           0             0              0  
Vanessa Cardui                                0             0              0  
Vestitohalictus sp.                           0             0              0  "
"                          Argyranthemum sp.  Asparagus pastorianus  \
Amegilla sp.                              0                      0   
Anaspis cf. saharensis                    0                      0   
Anthaxia sp. 1                            0                      0   
Anthophora sp. 1                          0                      0   
Aplocnemus sp. 2                          0                      1   
Aprostocetus sp. 1                        0                      0   
Attagenus sp. 1                           0                      0   
Axinotarsus sp. 1                         0                      0   
Bombylius sp. 1                           0                      0   
Chetogena acuminata                       0                      0   
Coleoptera sp. 5                          0                      1   
Colletes1? Waiting�                       0                      0   
Colletes2? Waiting�                       0                      0   
Eurytoma sp. 3                            0                      0   
Hylaeus sp.                               0                      0   
Lasioglossum phoenicurum                  0                      0   
Lucilia sericata                          0                      1   
Macrocoma cf. henoni                      0                      0   
Musca domestica                           0                      0   
Musca osiris                              0                      0   
Musca sorbens                             0                      0   
Nomioides deceptor                        0                     40   
Nomioides sp.                             0                      0   
Paragus tibialis                          0                      0   
Physiphora alceae                         0                      0   
Plagiolepis schmitzii                     0                      0   
Podalonia sp.                             0                      1   
Proconura sp. 1                           0                      3   
Sarcophaga sp. 1                          0                      1   
Sarcophagidae sp.                         0                      1   
Sarcophagidae sp. 2                       0                      0   
Sarcophagidae sp. 7                       0                      0   
Sciaridae sp.                             0                      0   
Sciaridae sp. 4                           0                      0   
Sphecidae sp.                             0                      0   
Tachinidae sp. 1                          0                      0   
Tapinoma nigerrimum                       1                      0   
Tephritidae sp. 1                         0                      0   
Tethinidae sp. 2                          0                      1   
Themnothorax productus                    0                      0   
Thysanoptera sp.                          0                      0   
Troglops sp.                              0                      0   
Urelliosoma guimari                       0                      0   
Urellliosoma sp.                          0                      0   

                          Euphorbia balsamifera (f)  \
Amegilla sp.                                      0   
Anaspis cf. saharensis                            0   
Anthaxia sp. 1                                    0   
Anthophora sp. 1                                  0   
Aplocnemus sp. 2                                  0   
Aprostocetus sp. 1                                0   
Attagenus sp. 1                                   0   
Axinotarsus sp. 1                                 2   
Bombylius sp. 1                                   0   
Chetogena acuminata                               0   
Coleoptera sp. 5                                  0   
Colletes1? Waiting�                               0   
Colletes2? Waiting�                               1   
Eurytoma sp. 3                                    0   
Hylaeus sp.                                       0   
Lasioglossum phoenicurum                          0   
Lucilia sericata                                  3   
Macrocoma cf. henoni                              0   
Musca domestica                                   0   
Musca osiris                                      0   
Musca sorbens                                     0   
Nomioides deceptor                                0   
Nomioides sp.                                     0   
Paragus tibialis                                  0   
Physiphora alceae                                 0   
Plagiolepis schmitzii                            10   
Podalonia sp.                                     0   
Proconura sp. 1                                   0   
Sarcophaga sp. 1                                  0   
Sarcophagidae sp.                                 0   
Sarcophagidae sp. 2                               0   
Sarcophagidae sp. 7                               0   
Sciaridae sp.                                     0   
Sciaridae sp. 4                                  13   
Sphecidae sp.                                     0   
Tachinidae sp. 1                                  0   
Tapinoma nigerrimum                              21   
Tephritidae sp. 1                                 0   
Tethinidae sp. 2                                  0   
Themnothorax productus                            0   
Thysanoptera sp.                                  0   
Troglops sp.                                      0   
Urelliosoma guimari                               0   
Urellliosoma sp.                                  0   

                          Euphorbia balsamifera (m)  Fagonia albiflora  \
Amegilla sp.                                      0                  3   
Anaspis cf. saharensis                            1                  0   
Anthaxia sp. 1                                    0                  0   
Anthophora sp. 1                                  0                  0   
Aplocnemus sp. 2                                  0                  0   
Aprostocetus sp. 1                                0                  0   
Attagenus sp. 1                                   0                  0   
Axinotarsus sp. 1                                 0                  0   
Bombylius sp. 1                                   1                  0   
Chetogena acuminata                               1                  0   
Coleoptera sp. 5                                  1                  0   
Colletes1? Waiting�                               0                  0   
Colletes2? Waiting�                               0                  0   
Eurytoma sp. 3                                    2                  0   
Hylaeus sp.                                       1                  0   
Lasioglossum phoenicurum                          1                  0   
Lucilia sericata                                  5                  0   
Macrocoma cf. henoni                              0                  0   
Musca domestica                                   2                  0   
Musca osiris                                      2                  0   
Musca sorbens                                     6                  0   
Nomioides deceptor                                0                  0   
Nomioides sp.                                     0                  0   
Paragus tibialis                                  0                  0   
Physiphora alceae                                 1                  0   
Plagiolepis schmitzii                             1                  0   
Podalonia sp.                                     2                  0   
Proconura sp. 1                                   0                  0   
Sarcophaga sp. 1                                  0                  0   
Sarcophagidae sp.                                 0                  0   
Sarcophagidae sp. 2                               2                  0   
Sarcophagidae sp. 7                               7                  0   
Sciaridae sp.                                    35                  0   
Sciaridae sp. 4                                   0                  0   
Sphecidae sp.                                     0                  0   
Tachinidae sp. 1                                  1                  0   
Tapinoma nigerrimum                               1                  0   
Tephritidae sp. 1                                 0                  0   
Tethinidae sp. 2                                  0                  0   
Themnothorax productus                            4                  0   
Thysanoptera sp.                                 12                  0   
Troglops sp.                                      0                  1   
Urelliosoma guimari                               3                  0   
Urellliosoma sp.                                  0                  0   

                          Kickxia heterophylla  Launaea arborescens  \
Amegilla sp.                                 1                    0   
Anaspis cf. saharensis                       0                    0   
Anthaxia sp. 1                               0                    7   
Anthophora sp. 1                             0                    0   
Aplocnemus sp. 2                             0                    0   
Aprostocetus sp. 1                           0                    2   
Attagenus sp. 1                              1                    1   
Axinotarsus sp. 1                            0                    0   
Bombylius sp. 1                              0                    0   
Chetogena acuminata                          0                    0   
Coleoptera sp. 5                             0                    0   
Colletes1? Waiting�                          1                    0   
Colletes2? Waiting�                          0                    0   
Eurytoma sp. 3                               0                    0   
Hylaeus sp.                                  0                    5   
Lasioglossum phoenicurum                     1                    6   
Lucilia sericata                             0                    0   
Macrocoma cf. henoni                         0                    0   
Musca domestica                              0                    0   
Musca osiris                                 0                    0   
Musca sorbens                                0                    0   
Nomioides deceptor                           0                    1   
Nomioides sp.                                0                    0   
Paragus tibialis                             0                    3   
Physiphora alceae                            0                    0   
Plagiolepis schmitzii                        0                    0   
Podalonia sp.                                0                    0   
Proconura sp. 1                              0                    0   
Sarcophaga sp. 1                             0                    0   
Sarcophagidae sp.                            0                    0   
Sarcophagidae sp. 2                          0                    0   
Sarcophagidae sp. 7                          0                    0   
Sciaridae sp.                                0                    1   
Sciaridae sp. 4                              0                    0   
Sphecidae sp.                                0                    3   
Tachinidae sp. 1                             0                    0   
Tapinoma nigerrimum                          1                    0   
Tephritidae sp. 1                            0                    6   
Tethinidae sp. 2                             0                    0   
Themnothorax productus                       0                    0   
Thysanoptera sp.                             0                    0   
Troglops sp.                                 0                    0   
Urelliosoma guimari                          0                    1   
Urellliosoma sp.                             0                    3   

                          Lycium intricatum  Nauplius sp.  Zilla spinosa  
Amegilla sp.                              3             0              0  
Anaspis cf. saharensis                    0             0              0  
Anthaxia sp. 1                            0             0              0  
Anthophora sp. 1                          1             0              0  
Aplocnemus sp. 2                          0             0              0  
Aprostocetus sp. 1                        0             0              0  
Attagenus sp. 1                           0             0              0  
Axinotarsus sp. 1                         0             0              0  
Bombylius sp. 1                           0             1              0  
Chetogena acuminata                       0             0              0  
Coleoptera sp. 5                          0             0              0  
Colletes1? Waiting�                      10             0              0  
Colletes2? Waiting�                       0             0              0  
Eurytoma sp. 3                            0             0              0  
Hylaeus sp.                               0             0              0  
Lasioglossum phoenicurum                  1             0              0  
Lucilia sericata                          0             0              0  
Macrocoma cf. henoni                      0             1              0  
Musca domestica                           0             0              0  
Musca osiris                              0             0              0  
Musca sorbens                             0             0              0  
Nomioides deceptor                        3             0              0  
Nomioides sp.                             9             0              0  
Paragus tibialis                          0             0              0  
Physiphora alceae                         0             0              0  
Plagiolepis schmitzii                     0             0              0  
Podalonia sp.                             0             0              0  
Proconura sp. 1                           0             0              0  
